dataset,nodes,features,classes,directed,emb_features,n_heads,max_nodes,init_lr,train_frac,epochs,edge_h,aff_h,min_beta,max_beta,metric_name,metric_value,metric_std,elapsed,seed
ogbl-ppa,576289,58,0,FALSE,58,4,4000,0.001,0.8,1000,0,0.8889,1.7704,1.7801,AUC,0.9419,0.0077,126.4,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.8651,1.6649,1.6747,AUC,0.9341,0.0122,134.4,13
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.0001,0.8,2000,0,0.8174,1.0564,1.0581,AUC,0.7854,0.1732,279.8,13
Cora,2708,1433,7,FALSE,358,4,2708,0.002,0.8,2000,0.81,0.6345,3.5026,3.5132,AUC,0.971,0.0023,164,13
CiteSeer,3327,3703,6,FALSE,925,4,3327,0.002,0.8,2000,0.74,0.6134,3.3077,3.3144,AUC,0.959,0.0017,427.6,13
PubMed,19717,500,3,FALSE,256,4,4000,0.0002,0.8,2000,0.8,0.5133,1.2972,1.2998,AUC,0.9661,0.0058,300.8,13
Texas,183,1703,5,FALSE,425,4,183,0.01,0.8,2000,0.21,0.1894,6.7106,8.283,AUC,0.8892,0.0171,49,13
Cornell,183,1703,5,FALSE,425,4,183,0.002,0.8,2000,0.3,0.3063,3.4615,3.4798,AUC,0.9328,0.0198,49.6,13
Wisconsin,251,1703,5,FALSE,425,4,251,0.01,0.8,2000,0.11,0.2956,7.0198,7.7739,AUC,0.9098,0.0117,50.4,13
Amazon-ratings,24492,300,5,FALSE,128,4,4000,0.0002,0.8,2000,0.38,0.5161,1.2182,1.2265,AUC,0.9196,0.009,213.2,13
Roman-empire,22662,300,18,FALSE,128,4,4000,0.0005,0.8,2000,0.05,0.3786,1.6926,1.7106,AUC,0.8917,0.0177,248.6,13
Questions,48921,301,2,FALSE,128,4,4000,0.001,0.8,2000,0.84,0.2908,2.3362,2.3802,AUC,0.9487,0.0071,246,13
Actor,7600,932,5,FALSE,233,4,4000,0.01,0.8,2000,0.22,0.3096,7.4169,7.9019,AUC,0.8874,0.007,277.2,13
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.7718,3.2542,3.2951,AUC,0.9576,0.0019,283.4,13
Squirrel,5201,2089,5,FALSE,300,4,3000,0.001,0.8,2000,0.22,0.3676,1.799,1.9719,AUC,0.944,0.0008,145.6,13
Chameleon,2277,2325,5,FALSE,581,4,2277,0.01,0.8,1000,0.23,0.5018,4.1514,4.2379,AUC,0.9675,0.0008,72,13
