dataset,nodes,features,classes,directed,emb_features,n_heads,max_nodes,init_lr,train_frac,epochs,edge_h,aff_h,min_beta,max_beta,metric_name,metric_value,metric_std,auc_value,auc_std,sparsity,elapsed,seed
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.0001,0.8,2000,0,0.5073,1.1117,1.1171,MRR,0.9485,0.0329,0.9346,0.0389,0,441.4,13
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.0001,0.8,2000,0,0.5077,1.1121,1.1171,MRR,0.9438,0.0326,0.9186,0.0461,0.05,434.4,13
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.0001,0.8,2000,0,0.5072,1.1114,1.1163,MRR,0.9523,0.0286,0.9282,0.0366,0.1,439.8,13
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.0001,0.8,2000,0,0.5073,1.1103,1.1158,MRR,0.9432,0.0333,0.9214,0.0425,0.15,444.2,13
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.0001,0.8,2000,0,0.5067,1.1108,1.1161,MRR,0.9563,0.0318,0.9291,0.0466,0.2,495.2,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.468,1.3975,1.4631,Hits@50,0.9201,0.0249,0.9233,0.0168,0,220.8,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.4598,1.3754,1.4491,Hits@50,0.9396,0.0276,0.9388,0.0141,0.05,229.2,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.455,1.3564,1.4452,Hits@50,0.9297,0.0265,0.9307,0.0102,0.1,220.2,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.4541,1.355,1.4374,Hits@50,0.9418,0.0269,0.9409,0.0141,0.15,236.4,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.453,1.3593,1.4363,Hits@50,0.9216,0.0259,0.9253,0.013,0.2,151.6,13
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.772,3.2505,3.2874,Hits@100,0.2471,0.0269,0.958,0.0019,0,434.6,13
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.7654,3.2676,3.2997,Hits@100,0.2569,0.0165,0.9572,0.0024,0.05,464,13
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.7591,3.2512,3.2959,Hits@100,0.2575,0.0242,0.9561,0.0032,0.1,459.4,13
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.7551,3.2497,3.2985,Hits@100,0.2591,0.0302,0.9556,0.0026,0.15,449.4,13
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.7506,3.2476,3.2895,Hits@100,0.2475,0.0293,0.9543,0.0026,0.2,443,13
